GENES	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UP_IN
ENSG00000000003.14	725.54620001886	0.694878494447791	0.131339201798585	5.29071659437539	1.21838037879373e-07	1.31342415938013e-06	C
ENSG00000000419.12	1415.46888077174	-0.217863852663624	0.128641215752909	-1.69357737633709	0.0903456200784288	0.199028384422784	KD
ENSG00000000457.13	507.839766640522	-0.38084112468123	0.136540020597838	-2.78922709264086	0.00528340036792274	0.0190609604663958	KD
ENSG00000000460.16	602.362805088998	1.12285802899867	0.14916590230712	7.52757843201185	5.16899604020922e-14	1.6106808650631e-12	C
ENSG00000000938.12	4.4447547932875	-1.01166608334084	1.00266878622249	-1.00897334916773	0.312987415726523	0.496158221986123	KD
ENSG00000000971.15	46.7066526006915	0.959843456408168	0.343958750700406	2.79057722605874	0.00526141469901485	0.0189882346074535	C
ENSG00000001036.13	3015.94703524632	-0.00476575621825304	0.114754422879088	-0.0415300438857552	0.966873341951493	0.984253099824647	KD
ENSG00000001084.12	1665.3234090912	-0.721072240048782	0.118811421256577	-6.06904818091187	1.2867054340194e-09	2.0137715166159e-08	KD
ENSG00000001167.14	1215.21833971636	0.411361747538733	0.104993653060805	3.91796775849396	8.92986465838934e-05	0.000530735793708791	C
ENSG00000001460.17	344.115028635438	-0.24487359071925	0.159997217054697	-1.53048656237275	0.125896337117477	0.255880057759598	KD
ENSG00000001461.16	1829.81035471049	-0.659282255274571	0.133343154677877	-4.94425272048818	7.64364944567794e-07	7.08272893798352e-06	KD
ENSG00000001497.16	1952.43802671586	0.157659001322562	0.110821599306929	1.42263784594836	0.154841166919588	0.299146571226688	C
ENSG00000001561.6	622.934931691581	-0.00393396220655725	0.146136415920136	-0.0269197939595507	0.978523705941001	0.990530649837571	KD
ENSG00000001617.11	493.235577211502	0.397865623561096	0.145026082436971	2.7434073711121	0.00608052003959424	0.0215257244937705	C
ENSG00000001626.15	2.95077579457965	0.234951151103345	1.23291460785702	0.190565631720207	0.848865918599535	NA	C
ENSG00000001629.9	1518.80544805939	0.293827586065407	0.144861966114134	2.02832802803398	0.0425267802273198	0.109134041269862	C
ENSG00000001630.16	1527.99405773062	0.0562199499960345	0.101275948796763	0.555116497687468	0.578814979119968	0.739176069187675	C
ENSG00000001631.15	719.40387657202	1.18622210505836	0.126351743794393	9.3882527413998	6.10038009078633e-21	4.67860884896322e-19	C
ENSG00000002016.17	290.89248792158	-0.622608350861177	0.158486759501578	-3.92845656519956	8.54927875790994e-05	0.000510305024998278	KD
ENSG00000002079.14	18.0392115249889	1.44013474249993	0.551886298740358	2.60947725244662	0.00906806747868264	0.030298434790951	C
ENSG00000002330.13	423.18821576254	0.0357882727964579	0.243723305924056	0.146839764300627	0.883258497484775	0.94040492862679	C
ENSG00000002549.12	1315.48490554388	0.470246753650953	0.142463382539266	3.3008254140066	0.000964008489398129	0.00434713656837724	C
